
numberOfEachChip,shufflesUntilGrouped
1,1
2,2
3,3
4,3
5,5
6,6
7,4
8,4
9,9
10,6
11,11
12,10
13,9
14,14
15,5
16,5
17,12
18,18
19,12
20,10
21,7
22,12
23,23
24,21
25,8
26,26
27,20
28,9
29,29
30,30
31,6
32,6
33,33
34,22
35,35
36,9
37,20
38,30
39,39
40,27
41,41
42,8
43,28
44,11
45,12
46,10
47,36
48,24
49,15
50,50
51,51
52,12
53,53
54,18
55,36
56,14
57,44
58,12
59,24
60,55
61,20
62,50
63,7
64,7
65,65
66,18
67,36
68,34
69,69
70,46
71,60
72,14
73,42
74,74
75,15
76,24
77,20
78,26
79,52
80,33
81,81
82,20
83,83
84,78
85,9
86,86
87,60
88,29
89,89
90,90
91,60
92,18
93,40
94,18
95,95
96,48
97,12
98,98
99,99
100,33
101,84
102,10
103,66
104,45
105,105
106,70
107,28
108,15
109,18
110,24
111,37
112,60
113,113
114,38
115,30
116,29
117,92
118,78
119,119
120,12
121,81
122,84
123,36
124,41
125,25
126,110
127,8
128,8
129,36
130,84
131,131
132,26
133,22
134,134
135,135
136,12
137,20
138,46
139,30
140,35
141,47
142,36
143,60
144,68
145,48
146,146
147,116
148,45
149,132
150,42
151,100
152,30
153,51
154,102
155,155
156,78
157,12
158,158
159,140
160,53
161,72
162,30
163,36
164,69
165,15
166,36
167,132
168,21
169,28
170,10
171,147
172,44
173,173
174,174
175,36
176,44
177,140
178,24
179,179
180,171
181,55
182,36
183,183
184,60
185,156
186,186
187,100
188,42
189,189
190,14
191,191
192,60
193,21
194,194
195,88
196,65
197,156
198,22
199,18
200,100
201,60
202,108
203,180
204,102
205,68
206,174
207,164
208,69
209,209
210,210
211,138
212,40
213,60
214,60
215,43
216,36
217,28
218,198
219,73
220,42
221,221
222,44
223,148
224,112
225,20
226,30
227,12
228,38
229,72
230,230
231,231
232,20
233,233
234,66
235,52
236,35
237,180
238,156
239,239
240,18
241,66
242,48
243,243
244,81
245,245
246,56
247,60
248,105
249,83
250,166
251,251
252,50
253,156
254,254
255,9
256,9
257,204
258,230
259,172
260,130
261,261
262,60
263,40
264,253
265,87
266,30
267,212
268,89
269,210
270,270
271,180
272,18
273,273
274,60
275,252
276,39
277,36
278,278
279,84
280,40
281,281
282,14
283,54
284,142
285,57
286,190
287,220
288,72
289,96
290,246
291,260
292,12
293,293
294,90
295,196
296,74
297,24
298,198
299,299
300,25
301,33
302,220
303,303
304,84
305,276
306,306
307,20
308,77
309,309
310,198
311,33
312,250
313,45
314,72
315,45
316,105
317,28
318,84
319,210
320,32
321,107
322,28
323,323
324,145
325,30
326,326
327,260
328,18
329,329
330,330
331,24
332,36
333,308
334,74
335,60
336,24
337,180
338,338
339,48
340,113
341,11
342,34
343,76
344,78
345,115
346,30
347,276
348,40
349,58
350,350
351,36
352,92
353,300
354,354
355,78
356,55
357,60
358,238
359,359
360,51
361,24
362,70
363,121
364,243
365,56
366,122
367,84
368,165
369,123
370,36
371,371
372,74
373,123
374,318
375,375
376,25
377,60
378,378
379,110
380,190
381,36
382,24
383,348
384,192
385,16
386,386
387,20
388,36
389,180
390,70
391,252
392,26
393,393
394,262
395,84
396,30
397,52
398,398
399,184
400,66
401,90
402,132
403,268
404,202
405,135
406,270
407,324
408,63
409,12
410,410
411,411
412,20
413,413
414,414
415,92
416,168
417,332
418,90
419,419
420,406
421,35
422,78
423,330
424,47
425,396
426,426
427,36
428,214
429,429
430,60
431,431
432,86
433,136
434,390
435,132
436,48
437,300
438,438
439,292
440,55
441,441
442,116
443,443
444,21
445,135
446,414
447,356
448,132
449,140
450,104
451,42
452,90
453,453
454,300
455,91
456,205
457,60
458,390
459,153
460,51
461,420
462,90
463,102
464,232
465,126
466,310
467,40
468,117
469,156
470,470
471,220
472,36
473,473
474,36
475,316
476,34
477,380
478,140
479,204
480,155
481,159
482,96
483,483
484,72
485,97
486,138
487,60
488,244
489,110
490,36
491,491
492,98
493,138
494,154
495,495
496,15
497,396
498,166
499,36
500,60
501,232
502,132
503,468
504,252
505,42
506,46
507,84
508,84
509,509
510,170
511,10
512,10
513,156
514,294
515,515
516,129
517,132
518,120
519,519
520,173
521,444
522,180
523,348
524,131
525,175
526,108
527,420
528,15
529,88
530,530
531,531
532,140
533,240
534,178
535,24
536,126
537,140
538,358
539,492
540,253
541,171
542,60
543,543
544,165
545,545
546,182
547,36
548,137
549,156
550,366
551,29
552,24
553,180
554,554
555,100
556,156
557,148
558,558
559,372
560,261
